epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.36794066429138184,9.999999747378752e-05,1.6984442472457886,0.3209393322467804,1.6746121644973755
1,0.4115394055843353,9.999999747378752e-05,1.581017255783081,0.44748857617378235,1.4998984336853027
2,0.42588216066360474,9.999999747378752e-05,1.5492295026779175,0.4383561611175537,1.4884122610092163
3,0.4320756196975708,9.999999747378752e-05,1.5247658491134644,0.4455316364765167,1.4583520889282227
4,0.44389209151268005,9.999999747378752e-05,1.5017788410186768,0.45270711183547974,1.4435575008392334
5,0.4464183747768402,9.999999747378752e-05,1.4885430335998535,0.46510112285614014,1.4402215480804443
6,0.45155245065689087,9.999999747378752e-05,1.4741132259368896,0.46771037578582764,1.418308138847351
7,0.4532637894153595,9.999999747378752e-05,1.4643546342849731,0.47031962871551514,1.4071382284164429
8,0.4634504020214081,9.999999747378752e-05,1.446960687637329,0.4716242551803589,1.3943920135498047
9,0.46964386105537415,9.999999747378752e-05,1.4344927072525024,0.4859752058982849,1.370983600616455
10,0.4760003387928009,9.999999747378752e-05,1.415258526802063,0.4885844886302948,1.366037130355835
11,0.48398664593696594,9.999999747378752e-05,1.4018455743789673,0.5029354095458984,1.3671159744262695
12,0.49026158452033997,9.999999747378752e-05,1.3807454109191895,0.5003261566162109,1.3298192024230957
13,0.5034634470939636,9.999999747378752e-05,1.3646529912948608,0.49706459045410156,1.3185186386108398
14,0.5099014043807983,9.999999747378752e-05,1.341010570526123,0.519895613193512,1.27195405960083
15,0.524570107460022,9.999999747378752e-05,1.3048895597457886,0.5231571793556213,1.2975826263427734
16,0.529785692691803,9.999999747378752e-05,1.2931098937988281,0.5375081300735474,1.2507356405258179
17,0.5412761569023132,9.999999747378752e-05,1.263799786567688,0.5407697558403015,1.2250064611434937
18,0.5543150305747986,9.999999747378752e-05,1.237224817276001,0.5603392124176025,1.2117234468460083
19,0.5657240748405457,9.999999747378752e-05,1.2052730321884155,0.5570776462554932,1.2128403186798096
20,0.5768070816993713,9.999999747378752e-05,1.171048641204834,0.5740378499031067,1.1657869815826416
21,0.590253472328186,9.999999747378752e-05,1.149465560913086,0.6060013175010681,1.130018711090088
22,0.6036182641983032,9.999999747378752e-05,1.117996096611023,0.5818656086921692,1.1491968631744385
23,0.6094042658805847,9.999999747378752e-05,1.0925710201263428,0.6255707740783691,1.0537664890289307
24,0.6151902675628662,9.999999747378752e-05,1.073412537574768,0.6099151968955994,1.1024893522262573
25,0.6226876378059387,9.999999747378752e-05,1.0468542575836182,0.6268754005432129,1.0442743301391602
26,0.6327112913131714,9.999999747378752e-05,1.0276628732681274,0.6327462196350098,1.0223703384399414
27,0.645668625831604,9.999999747378752e-05,0.9944473505020142,0.6536203622817993,0.9981622695922852
28,0.6521880626678467,9.999999747378752e-05,0.980656087398529,0.6516634225845337,0.9711480736732483
29,0.6547958850860596,9.999999747378752e-05,0.9649536609649658,0.6340509057044983,1.003267526626587
30,0.6622931957244873,9.999999747378752e-05,0.9406368136405945,0.631441593170166,1.0255812406539917
31,0.6908157467842102,2.9999999242136255e-05,0.8917974233627319,0.6777560114860535,0.9102705717086792
32,0.6895118355751038,2.9999999242136255e-05,0.8782050609588623,0.6868884563446045,0.8873357176780701
33,0.6943199634552002,2.9999999242136255e-05,0.8640353083610535,0.6855838298797607,0.8893902897834778
34,0.69823157787323,2.9999999242136255e-05,0.8591392040252686,0.6927592754364014,0.8948627710342407
35,0.7036916017532349,8.999999408842996e-06,0.8446626663208008,0.7031963467597961,0.8574872612953186
36,0.7071958184242249,8.999999408842996e-06,0.8349051475524902,0.7064579129219055,0.8618310689926147
37,0.7053214907646179,8.999999408842996e-06,0.833376944065094,0.7064579129219055,0.8553879857063293
38,0.7054844498634338,8.999999408842996e-06,0.8321307301521301,0.7071102261543274,0.855959415435791
39,0.7120038866996765,8.999999408842996e-06,0.8200190663337708,0.7045009732246399,0.8552554249763489
40,0.711514949798584,8.999999408842996e-06,0.8235238194465637,0.7097194790840149,0.8445130586624146
41,0.708010733127594,8.999999408842996e-06,0.8282344937324524,0.709067165851593,0.8540781736373901
42,0.7148561477661133,8.999999408842996e-06,0.8185252547264099,0.7077625393867493,0.8492844700813293
43,0.7170564532279968,2.699999868127634e-06,0.8130391240119934,0.7058055996894836,0.8453966379165649
44,0.7173009514808655,2.699999868127634e-06,0.8131033182144165,0.7064579129219055,0.8430033922195435
45,0.7175454497337341,2.699999868127634e-06,0.813959002494812,0.7051532864570618,0.8447950482368469
46,0.7123298645019531,2.699999868127634e-06,0.8087623119354248,0.703848659992218,0.8440366387367249
47,0.7164045572280884,8.099999604382901e-07,0.8142924308776855,0.7071102261543274,0.8432323932647705
48,0.7145301699638367,8.099999604382901e-07,0.8032913208007812,0.7077625393867493,0.8420684933662415
49,0.7158340811729431,8.099999604382901e-07,0.7982702255249023,0.7071102261543274,0.84160977602005
50,0.7217015624046326,8.099999604382901e-07,0.8015512228012085,0.7077625393867493,0.8408530950546265
51,0.7196642756462097,8.099999604382901e-07,0.8071009516716003,0.7058055996894836,0.8421455025672913
52,0.7243908643722534,8.099999604382901e-07,0.7988528609275818,0.7084148526191711,0.8424381017684937
53,0.7202346920967102,2.4299998813148704e-07,0.8039275407791138,0.7064579129219055,0.8419865369796753
54,0.7190937995910645,2.4299998813148704e-07,0.8058387637138367,0.7077625393867493,0.8416364789009094
55,0.7208051681518555,1.0000000116860974e-07,0.8036672472953796,0.7077625393867493,0.841084361076355
56,0.7159155607223511,1.0000000116860974e-07,0.8143197298049927,0.7077625393867493,0.8416709303855896
57,0.7173824310302734,1.0000000116860974e-07,0.8063082098960876,0.7064579129219055,0.8415310978889465
58,0.7188493013381958,1.0000000116860974e-07,0.8042352199554443,0.7071102261543274,0.8414435386657715
59,0.709640622138977,1.0000000116860974e-07,0.813709020614624,0.7071102261543274,0.8411341309547424
60,0.7181974053382874,1.0000000116860974e-07,0.8010023236274719,0.7064579129219055,0.8417253494262695
61,0.7137967348098755,1.0000000116860974e-07,0.8083525896072388,0.7064579129219055,0.8417845964431763
62,0.7184418439865112,1.0000000116860974e-07,0.8075063824653625,0.7064579129219055,0.8415759205818176
63,0.7154266238212585,1.0000000116860974e-07,0.8088409900665283,0.7064579129219055,0.8412932753562927
64,0.7199901938438416,1.0000000116860974e-07,0.7968590259552002,0.7058055996894836,0.8417319655418396
65,0.7194197773933411,1.0000000116860974e-07,0.7990872263908386,0.7064579129219055,0.8413236141204834
66,0.7133892774581909,1.0000000116860974e-07,0.8101342916488647,0.7071102261543274,0.8413574695587158
67,0.7133892774581909,1.0000000116860974e-07,0.8061292767524719,0.7064579129219055,0.840967059135437
68,0.7167304754257202,1.0000000116860974e-07,0.8053361177444458,0.7064579129219055,0.8413784503936768
69,0.7214571237564087,1.0000000116860974e-07,0.8001720309257507,0.7064579129219055,0.8419146537780762
70,0.7199901938438416,1.0000000116860974e-07,0.80434650182724,0.7064579129219055,0.8417044281959534
71,0.7194197773933411,1.0000000116860974e-07,0.8058353066444397,0.7071102261543274,0.8403640985488892
72,0.7129003405570984,1.0000000116860974e-07,0.8133755922317505,0.7077625393867493,0.8405366539955139
73,0.7152636051177979,1.0000000116860974e-07,0.8083229064941406,0.7064579129219055,0.8410879969596863
74,0.7205606698989868,1.0000000116860974e-07,0.8018416166305542,0.7064579129219055,0.8406249284744263
75,0.7166489958763123,1.0000000116860974e-07,0.807147741317749,0.7077625393867493,0.8410367965698242
76,0.7145301699638367,1.0000000116860974e-07,0.8072213530540466,0.7064579129219055,0.8410031199455261
77,0.7145301699638367,1.0000000116860974e-07,0.8101776242256165,0.7064579129219055,0.8407680988311768
78,0.7148561477661133,1.0000000116860974e-07,0.802263617515564,0.7071102261543274,0.8405828475952148
79,0.7219460606575012,1.0000000116860974e-07,0.8042591214179993,0.7064579129219055,0.8406274318695068
80,0.7200717329978943,1.0000000116860974e-07,0.8001731634140015,0.7077625393867493,0.8405662775039673
81,0.7168934941291809,1.0000000116860974e-07,0.8007619380950928,0.7071102261543274,0.8410296440124512
82,0.7192567586898804,1.0000000116860974e-07,0.8079530000686646,0.7064579129219055,0.8408508896827698
83,0.7169749736785889,1.0000000116860974e-07,0.8069549202919006,0.7071102261543274,0.8400687575340271
84,0.7181974053382874,1.0000000116860974e-07,0.8070998787879944,0.7064579129219055,0.8407456278800964
85,0.7191752791404724,1.0000000116860974e-07,0.8052483797073364,0.7071102261543274,0.8408843278884888
86,0.7172194719314575,1.0000000116860974e-07,0.8037780523300171,0.7071102261543274,0.8404088616371155
87,0.7124114036560059,1.0000000116860974e-07,0.8101118803024292,0.7077625393867493,0.8404107093811035
88,0.7171379923820496,1.0000000116860974e-07,0.8049159049987793,0.7071102261543274,0.8406991362571716
89,0.7156711220741272,1.0000000116860974e-07,0.805232584476471,0.7071102261543274,0.8399943113327026
90,0.7234129309654236,1.0000000116860974e-07,0.8025684952735901,0.7071102261543274,0.8405148386955261
91,0.7178714275360107,1.0000000116860974e-07,0.8050409555435181,0.7071102261543274,0.8404253721237183
