accuracy,loss,val_accuracy,val_loss,learning_rate,epoch,model,stage,elapsed_seconds_stage
0.7412598729133606,0.7119095325469971,0.7123287916183472,0.8343271613121033,9.999999747378752e-06,1,ResNet50,fine_tune,901.3849363327026
0.770352840423584,0.6449359655380249,0.718199610710144,0.8029735684394836,9.999999747378752e-06,2,ResNet50,fine_tune,901.3849363327026
0.7845326662063599,0.5827047824859619,0.7240704298019409,0.7878271341323853,9.999999747378752e-06,3,ResNet50,fine_tune,901.3849363327026
0.8023796081542969,0.5482309460639954,0.7208088636398315,0.8167297840118408,9.999999747378752e-06,4,ResNet50,fine_tune,901.3849363327026
0.818270742893219,0.5092552304267883,0.742335319519043,0.7743955850601196,9.999999747378752e-06,5,ResNet50,fine_tune,901.3849363327026
0.8345693349838257,0.4691213071346283,0.7390736937522888,0.7649416327476501,9.999999747378752e-06,6,ResNet50,fine_tune,901.3849363327026
0.8462228178977966,0.43585067987442017,0.7495107650756836,0.7993806600570679,9.999999747378752e-06,7,ResNet50,fine_tune,901.3849363327026
0.8516828417778015,0.41027840971946716,0.7495107650756836,0.7497172355651855,9.999999747378752e-06,8,ResNet50,fine_tune,901.3849363327026
0.8650476932525635,0.3794936239719391,0.7501630783081055,0.8649169206619263,9.999999747378752e-06,9,ResNet50,fine_tune,901.3849363327026
0.8716486096382141,0.35546332597732544,0.7579908967018127,0.7723320126533508,9.999999747378752e-06,10,ResNet50,fine_tune,901.3849363327026
0.8944666385650635,0.2966185510158539,0.7534246444702148,0.7805411219596863,2.9999998787388904e-06,11,ResNet50,fine_tune,901.3849363327026
