model,accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,total_params,trainable_params,non_trainable_params,training_time_seconds
Custom_CNN,0.698371335504886,0.6192596348765941,0.5427906212358321,0.5553011340346093,0.694682938368805,0.698371335504886,0.6875768684065074,457927,456967,960,6273.883712053299
MobileNetV2,0.7342019543973941,0.6841196678532228,0.6076498847733368,0.635576325364616,0.73402986390504,0.7342019543973941,0.7300269633178931,2587719,1993095,594624,7622.364848852158
ResNet50,0.7537459283387622,0.6966114896763765,0.6320309268529071,0.6543695454046317,0.7493314599385419,0.7537459283387622,0.7485579954761534,24114055,17448711,6665344,8408.785794496536
