accuracy,loss,val_accuracy,val_loss,learning_rate,epoch,model,stage,elapsed_seconds_stage
0.6506397128105164,0.9615004658699036,0.6373124718666077,1.0050028562545776,9.999999747378752e-06,1,MobileNetV2,fine_tune,1421.3616156578064
0.6743541955947876,0.9022456407546997,0.6470971703529358,0.9828547239303589,9.999999747378752e-06,2,MobileNetV2,fine_tune,1421.3616156578064
0.6966832280158997,0.8588742613792419,0.6549249887466431,0.9649205207824707,9.999999747378752e-06,3,MobileNetV2,fine_tune,1421.3616156578064
0.7056474685668945,0.8258810639381409,0.6653620600700378,0.9230669736862183,9.999999747378752e-06,4,MobileNetV2,fine_tune,1421.3616156578064
0.7181974053382874,0.7891581058502197,0.6823222637176514,0.8946405649185181,9.999999747378752e-06,5,MobileNetV2,fine_tune,1421.3616156578064
0.7238203883171082,0.7716033458709717,0.6921069622039795,0.8735318183898926,9.999999747378752e-06,6,MobileNetV2,fine_tune,1421.3616156578064
0.7313177585601807,0.7497109770774841,0.6934115886688232,0.8666581511497498,9.999999747378752e-06,7,MobileNetV2,fine_tune,1421.3616156578064
0.7457420229911804,0.7139760851860046,0.709067165851593,0.837675154209137,9.999999747378752e-06,8,MobileNetV2,fine_tune,1421.3616156578064
0.7498981356620789,0.700402557849884,0.7045009732246399,0.8301833271980286,9.999999747378752e-06,9,MobileNetV2,fine_tune,1421.3616156578064
0.7573139667510986,0.681498646736145,0.7155903577804565,0.8133541941642761,9.999999747378752e-06,10,MobileNetV2,fine_tune,1421.3616156578064
0.7696194052696228,0.6541813611984253,0.718199610710144,0.8202836513519287,9.999999747378752e-06,11,MobileNetV2,fine_tune,1421.3616156578064
0.767500638961792,0.642307698726654,0.7149380445480347,0.81490558385849,9.999999747378752e-06,12,MobileNetV2,fine_tune,1421.3616156578064
0.789829671382904,0.5941166281700134,0.7195042371749878,0.7889432311058044,2.9999998787388904e-06,13,MobileNetV2,fine_tune,1421.3616156578064
0.7915410399436951,0.5916904211044312,0.7142857313156128,0.7960598468780518,2.9999998787388904e-06,14,MobileNetV2,fine_tune,1421.3616156578064
0.7952896952629089,0.5770921111106873,0.7175472974777222,0.8042474985122681,2.9999998787388904e-06,15,MobileNetV2,fine_tune,1421.3616156578064
0.7961861491203308,0.5712080597877502,0.7273320555686951,0.7844532132148743,8.999999749903509e-07,16,MobileNetV2,fine_tune,1421.3616156578064
0.8022981286048889,0.5696123242378235,0.7260273694992065,0.7850645184516907,8.999999749903509e-07,17,MobileNetV2,fine_tune,1421.3616156578064
0.8005867600440979,0.5655826926231384,0.723418116569519,0.7813645601272583,8.999999749903509e-07,18,MobileNetV2,fine_tune,1421.3616156578064
0.7979789972305298,0.561754047870636,0.7240704298019409,0.7823801040649414,8.999999749903509e-07,19,MobileNetV2,fine_tune,1421.3616156578064
0.8003422617912292,0.5588378310203552,0.723418116569519,0.7826693654060364,8.999999749903509e-07,20,MobileNetV2,fine_tune,1421.3616156578064
0.8004237413406372,0.5551783442497253,0.7240704298019409,0.7842862010002136,2.699999868127634e-07,21,MobileNetV2,fine_tune,1421.3616156578064
0.8026240468025208,0.5616077184677124,0.7221134901046753,0.7826447486877441,2.699999868127634e-07,22,MobileNetV2,fine_tune,1421.3616156578064
