epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.4448700249195099,9.999999747378752e-05,1.5492268800735474,0.5414220690727234,1.2490071058273315
1,0.5214734077453613,9.999999747378752e-05,1.3157342672348022,0.5792563557624817,1.1652717590332031
2,0.5534186363220215,9.999999747378752e-05,1.2396209239959717,0.597521185874939,1.1168315410614014
3,0.5702061653137207,9.999999747378752e-05,1.1811842918395996,0.6164383292198181,1.0766372680664062
4,0.5887865424156189,9.999999747378752e-05,1.1412991285324097,0.6151337027549744,1.0537623167037964
5,0.5988916754722595,9.999999747378752e-05,1.1099090576171875,0.6177430152893066,1.0354152917861938
6,0.608181893825531,9.999999747378752e-05,1.0801156759262085,0.631441593170166,1.031535029411316
7,0.6222801804542542,9.999999747378752e-05,1.0548955202102661,0.6379647850990295,1.0076172351837158
8,0.6256213784217834,9.999999747378752e-05,1.030526876449585,0.6418786644935608,0.9956006407737732
9,0.6388232707977295,9.999999747378752e-05,1.0085315704345703,0.6470971703529358,0.9842668771743774
10,0.639312207698822,9.999999747378752e-05,0.9966179728507996,0.6523157358169556,0.9704566597938538
11,0.6477059721946716,9.999999747378752e-05,0.9745005965232849,0.6621004343032837,0.9655855894088745
12,0.6545513868331909,9.999999747378752e-05,0.9587474465370178,0.6705805659294128,0.9562646150588989
13,0.6613968014717102,9.999999747378752e-05,0.9446662664413452,0.6686236262321472,0.9528487920761108
14,0.6635971069335938,9.999999747378752e-05,0.9279457330703735,0.6679713129997253,0.9510470032691956
15,0.6680791974067688,9.999999747378752e-05,0.9126334190368652,0.6823222637176514,0.9393502473831177
16,0.6718279123306274,9.999999747378752e-05,0.903043270111084,0.6673189997673035,0.9320029616355896
17,0.6828294396400452,9.999999747378752e-05,0.8847100734710693,0.6777560114860535,0.9305930137634277
18,0.6869855523109436,9.999999747378752e-05,0.8765165209770203,0.675146758556366,0.9343399405479431
19,0.6939125061035156,9.999999747378752e-05,0.8596504330635071,0.6803653240203857,0.9257245659828186
20,0.69179368019104,9.999999747378752e-05,0.8560143709182739,0.6777560114860535,0.9215408563613892
21,0.6992909908294678,9.999999747378752e-05,0.835030198097229,0.6816699504852295,0.9191202521324158
22,0.7018172740936279,9.999999747378752e-05,0.8285595774650574,0.6868884563446045,0.9106252789497375
23,0.7059734463691711,9.999999747378752e-05,0.8236232399940491,0.689497709274292,0.9054098129272461
24,0.7070328593254089,9.999999747378752e-05,0.808163583278656,0.6790606379508972,0.9142045378684998
