epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.6506397128105164,9.999999747378752e-06,0.9615004658699036,0.6373124718666077,1.0050028562545776
1,0.6743541955947876,9.999999747378752e-06,0.9022456407546997,0.6470971703529358,0.9828547239303589
2,0.6966832280158997,9.999999747378752e-06,0.8588742613792419,0.6549249887466431,0.9649205207824707
3,0.7056474685668945,9.999999747378752e-06,0.8258810639381409,0.6653620600700378,0.9230669736862183
4,0.7181974053382874,9.999999747378752e-06,0.7891581058502197,0.6823222637176514,0.8946405649185181
5,0.7238203883171082,9.999999747378752e-06,0.7716033458709717,0.6921069622039795,0.8735318183898926
6,0.7313177585601807,9.999999747378752e-06,0.7497109770774841,0.6934115886688232,0.8666581511497498
7,0.7457420229911804,9.999999747378752e-06,0.7139760851860046,0.709067165851593,0.837675154209137
8,0.7498981356620789,9.999999747378752e-06,0.700402557849884,0.7045009732246399,0.8301833271980286
9,0.7573139667510986,9.999999747378752e-06,0.681498646736145,0.7155903577804565,0.8133541941642761
10,0.7696194052696228,9.999999747378752e-06,0.6541813611984253,0.718199610710144,0.8202836513519287
11,0.767500638961792,9.999999747378752e-06,0.642307698726654,0.7149380445480347,0.81490558385849
12,0.789829671382904,2.9999998787388904e-06,0.5941166281700134,0.7195042371749878,0.7889432311058044
13,0.7915410399436951,2.9999998787388904e-06,0.5916904211044312,0.7142857313156128,0.7960598468780518
14,0.7952896952629089,2.9999998787388904e-06,0.5770921111106873,0.7175472974777222,0.8042474985122681
15,0.7961861491203308,8.999999749903509e-07,0.5712080597877502,0.7273320555686951,0.7844532132148743
16,0.8022981286048889,8.999999749903509e-07,0.5696123242378235,0.7260273694992065,0.7850645184516907
17,0.8005867600440979,8.999999749903509e-07,0.5655826926231384,0.723418116569519,0.7813645601272583
18,0.7979789972305298,8.999999749903509e-07,0.561754047870636,0.7240704298019409,0.7823801040649414
19,0.8003422617912292,8.999999749903509e-07,0.5588378310203552,0.723418116569519,0.7826693654060364
20,0.8004237413406372,2.699999868127634e-07,0.5551783442497253,0.7240704298019409,0.7842862010002136
21,0.8026240468025208,2.699999868127634e-07,0.5616077184677124,0.7221134901046753,0.7826447486877441
